tid,year
1346686936568758275,2021-01-06
1346687368812785664,2021-01-06
1346694608877740032,2021-01-06
1346698217304584192,2021-01-06
1346805405998075905,2021-01-06
1346808075626426371,2021-01-06
1346809349214248962,2021-01-06
1346818855298072576,2021-01-06
1346822610957561858,2021-01-06
1346845109736845318,2021-01-06
1346900434540240897,2021-01-06
1346928882595885058,2021-01-06
1346954970910707712,2021-01-06
