tid,year
1331751184923766785,2020-11-26
1331751090442940417,2020-11-26
1331750647151144962,2020-11-26
1331750304442953729,2020-11-26
1331750037777510404,2020-11-26
1331749845351198721,2020-11-26
1331749457734627328,2020-11-25
1331749395214311427,2020-11-25
1331749153123299329,2020-11-25
1331738816856666114,2020-11-25
1331706255212228608,2020-11-25
1331695288231333890,2020-11-25
1331684437705302018,2020-11-25
1331682905672781827,2020-11-25
1331682889554071553,2020-11-25
1331682867450097666,2020-11-25
1331682845551718406,2020-11-25
1331671788338753542,2020-11-25
1331655154492448770,2020-11-25
1331653804912242688,2020-11-25
1331624798372438018,2020-11-25
1331622776642424833,2020-11-25
1331622705184043014,2020-11-25
1331622091272163329,2020-11-25
1331606011233390592,2020-11-25
1331465928022822918,2020-11-25
1331465785399767040,2020-11-25
