memento-datetime,likes
2021-09-05T16:59:00Z,238722
2021-09-05T16:20:53Z,238720
2021-09-05T15:21:22Z,238712
2021-09-05T14:53:28Z,238756
2021-09-05T14:48:40Z,238754
2021-09-05T09:15:48Z,238713
2021-09-04T19:05:06Z,238716
2021-09-04T18:26:18Z,238715
2021-09-04T18:11:31Z,238715
2021-09-04T17:12:35Z,238724
2021-09-04T00:45:32Z,238735
2021-09-02T23:25:41Z,238773
2021-09-01T10:11:34Z,238799
2021-08-31T11:52:50Z,238872
2021-08-30T22:38:58Z,238859
2021-08-30T15:17:11Z,238835
2021-08-30T11:57:03Z,238856
2021-08-28T20:13:25Z,238872
2021-08-27T14:51:23Z,238910
2021-08-26T22:01:29Z,238951
2021-08-26T19:03:07Z,238961
2021-08-26T18:33:02Z,238960
2021-08-26T09:45:11Z,238925
2021-08-25T14:15:38Z,238955
2021-08-25T13:42:21Z,238952
2021-08-25T04:57:55Z,238960
2021-08-24T05:43:07Z,238987
2021-08-23T05:07:21Z,239019
2021-08-20T06:23:07Z,239058
2021-08-19T07:31:56Z,239035
2021-08-19T03:52:19Z,238814
2021-08-18T01:33:32Z,239086
2021-08-17T18:30:32Z,239099
2021-08-17T09:32:21Z,239090
2021-08-17T01:35:14Z,239113
2021-08-15T06:38:39Z,239138
2021-08-11T04:22:25Z,239189
2021-08-10T23:19:45Z,239196
2021-08-10T17:24:59Z,239215
2021-08-10T17:02:18Z,239214
2021-08-09T19:56:32Z,239258
2021-08-09T17:15:09Z,239253
2021-08-05T15:25:55Z,239248
2021-08-04T20:30:51Z,239220
2021-08-04T06:53:01Z,239224
2021-07-07T07:32:05Z,239015
2021-07-02T18:21:27Z,239263
2021-07-01T03:42:18Z,239050
2021-07-01T03:42:15Z,239050
2021-07-01T03:42:12Z,239050
2021-07-01T03:42:09Z,239050
2021-06-28T09:02:06Z,239288
2021-06-21T08:26:11Z,239214
2021-06-07T10:20:04Z,238273
2021-06-04T11:43:19Z,238340
2021-05-22T22:50:58Z,238782
2021-05-21T08:56:02Z,238496
2021-05-13T16:14:52Z,238625
2021-05-03T20:47:29Z,238797
2021-05-02T15:47:34Z,238794
2021-04-27T20:47:17Z,237425
2021-04-26T01:55:22Z,237242
2021-04-24T06:26:23Z,237193
2021-04-18T17:11:45Z,237099
2021-04-09T09:24:32Z,237428
2021-04-06T08:49:41Z,237477
2021-04-05T22:04:39Z,237507
2021-04-05T22:03:12Z,237506
2021-03-16T16:15:36Z,238099
2021-03-16T01:10:55Z,238392
2021-03-15T17:41:19Z,238132
2021-03-15T11:41:32Z,238140
2021-03-14T23:08:39Z,238440
2021-03-11T00:02:50Z,238582
2021-02-08T07:46:40Z,211012
2021-02-06T06:31:11Z,211247
2021-01-30T02:59:29Z,210659
2021-01-29T07:13:55Z,210657
2021-01-23T23:08:55Z,211343
2021-01-07T07:19:52Z,214288
2020-12-19T18:49:19Z,214388
2020-11-22T20:28:32Z,213837
2020-11-21T02:43:55Z,213794
2020-11-21T00:23:35Z,213766
2020-11-20T03:22:57Z,213484
2020-11-17T05:23:35Z,213902
2020-11-06T08:42:04Z,213845
2020-10-31T11:50:12Z,213949
2020-10-17T16:53:48Z,214466
2020-10-12T09:04:42Z,214422
2020-10-10T05:46:04Z,214736
2020-10-03T00:39:18Z,214993
2020-08-28T07:52:28Z,214257
2020-07-18T18:44:44Z,212184
2020-07-04T01:02:17Z,208307
2020-06-30T12:57:28Z,207801
2020-06-25T00:27:05Z,208099
2020-06-16T10:32:49Z,207474
2020-06-15T10:11:14Z,207183
2020-06-14T08:41:47Z,207020
2020-06-13T07:14:09Z,207057
2020-06-12T06:36:51Z,207042
2020-06-11T06:16:22Z,207022
2020-06-11T00:55:45Z,207205
2020-06-10T16:55:51Z,207125
2020-06-09T19:12:01Z,207109
2020-06-08T14:14:31Z,207167
2020-06-07T23:37:11Z,207171
2020-06-01T09:01:07Z,207524
2020-05-30T04:58:22Z,207527
2020-05-28T17:02:12Z,207576
2020-05-28T17:02:12Z,207576
2020-05-23T16:13:43Z,207851
2020-05-19T02:41:04Z,207766
2020-04-21T00:44:11Z,206167
2020-04-20T19:41:09Z,206208
2020-04-19T23:21:34Z,206240
2020-04-17T22:11:34Z,206285
2020-04-17T08:57:40Z,206388
2020-04-03T22:43:18Z,206616
2020-03-19T20:46:23Z,206752
2020-03-17T04:56:20Z,206736
2020-03-14T05:45:15Z,206797
2020-03-08T11:22:57Z,206543
2020-02-22T12:00:16Z,205261
2020-02-15T09:05:42Z,205393
2020-02-13T13:44:56Z,205407
2020-02-11T10:17:31Z,204995
2020-02-11T07:16:55Z,205009
2020-02-11T06:11:55Z,204974
2020-02-10T22:18:13Z,205046
2020-02-10T14:32:47Z,205105
2020-02-10T12:29:12Z,205021
2020-02-10T12:28:14Z,205067
2020-02-10T12:16:05Z,205012
2020-02-10T11:54:09Z,204999
2020-02-10T11:53:09Z,205118
2020-02-10T09:58:46Z,205047
2020-02-10T09:41:51Z,205034
2020-02-10T09:32:29Z,205027
2020-02-10T09:20:29Z,205016
2020-02-10T07:59:42Z,205033
2020-02-10T07:37:28Z,205007
2020-02-10T07:33:44Z,205004
2020-02-10T07:20:41Z,204995
2020-02-10T07:06:24Z,204989
2020-02-08T06:25:39Z,204960
2020-02-05T22:22:04Z,204987
2020-02-03T14:17:58Z,204921
2020-02-01T16:21:13Z,204744
2020-01-30T15:37:33Z,204711
2020-01-29T09:55:24Z,204579
2020-01-28T11:04:44Z,204115
2020-01-26T07:12:58Z,203427
2020-01-26T02:41:04Z,203458
2020-01-24T13:04:13Z,203093
2020-01-08T23:37:07Z,202449
2020-01-07T13:50:14Z,202093
2020-01-07T13:50:12Z,202093
2020-01-07T13:38:59Z,202092
2020-01-07T13:38:35Z,202092
2020-01-06T14:28:11Z,202023
2020-01-06T14:28:11Z,202023
2020-01-06T04:09:05Z,201899
2020-01-04T04:32:25Z,200945
2020-01-01T21:20:53Z,200496
2019-12-30T09:22:57Z,199532
2019-12-30T09:22:57Z,199532
2019-12-27T18:44:01Z,198350
2019-12-26T09:35:34Z,197549
2019-12-26T09:35:34Z,197549
2019-12-25T18:28:12Z,197141
2019-12-25T18:28:12Z,197141
2019-12-24T18:20:41Z,196247
2019-12-24T18:20:41Z,196247
2019-12-23T18:10:25Z,194470
2019-12-23T09:36:43Z,193357
2019-12-23T09:36:43Z,193357
2019-12-23T06:31:41Z,192950
2019-12-22T20:08:45Z,191372
2019-12-21T23:04:01Z,186943
2019-12-21T17:12:25Z,184132
2019-12-21T05:37:30Z,175481
2019-12-21T05:37:30Z,175481
2019-12-21T05:09:14Z,175181
2019-12-21T00:59:24Z,172248
2019-12-21T00:57:17Z,172210
2019-12-20T15:05:11Z,156214
2019-12-20T11:26:03Z,145785
2019-12-20T11:26:03Z,145785
2019-12-20T02:44:19Z,120308
2019-12-19T22:02:31Z,93735
2019-12-19T20:57:53Z,84811
2019-12-19T20:47:06Z,83262
2019-12-19T18:41:11Z,63742
2019-12-19T17:41:27Z,53912
2019-12-19T17:26:19Z,51070
2019-12-19T15:39:07Z,31554
2019-12-19T13:52:17Z,13034
2019-12-19T13:40:32Z,10812
2019-12-19T13:29:17Z,8447
2019-12-19T13:11:10Z,4355
